Flight ORG DEST Departure Arrival Cost
AR1240 AEP GRU 420 615 15678.3333706209
AR1446 AEP TUC 555 700 14047.5867036687
AR1473 AEP TUC 675 820 14047.5867036687
AR1475 AEP TUC 1060 1205 14047.5867036687
AR1836 AEP CRD 1130 1302 14984.3523691339
AR1248 AEP GRU 1170 1365 15678.3333706209
AR1801 BRC COR 655 925 17535.9711634455
AR1800 COR BRC 935 1100 14756.0670321522
AR1833 CRD AEP 510 675 14756.0670321522
AR1249 GRU AEP 350 555 15957.5046462414
AR1241 GRU AEP 640 845 15957.5046462414
AR1447 TUC AEP 710 845 13654.6601947635
AR1478 TUC AEP 1030 1165 13654.6601947635
AR1476 TUC AEP 1215 1350 13654.6601947635
