Flight ORG DEST Departure Arrival Cost
AR1864 AEP REL 320 440 10200.7438572444
AR1406 AEP MDZ 360 470 9921.94540797762
AR1511 AEP COR 365 443 8870.08058366537
AR1651 AEP NQN 440 554 10035.6442531557
AR1737 AEP PSS 455 545 9300
AR1402 AEP MDZ 480 590 9921.94540797762
AR1501 AEP COR 505 583 8870.08058366537
AR1412 AEP MDZ 550 660 9921.94540797762
AR1647 AEP NQN 680 794 10035.6442531557
AR1659 AEP CPC 720 855 10588.6812447293
AR1643 AEP BHI 735 815 8945.53850211056
AR1755 AEP RES 785 872 9197.32065897353
AR1434 AEP UAQ 795 913 10146.4025292584
AR1735 AEP IGR 805 910 9775.33146672087
AR1751 AEP PSS 820 910 9300
AR1524 AEP COR 890 973 9055.67635557391
AR1655 AEP NQN 940 1054 10035.6442531557
AR1731 AEP IGR 965 1070 9775.33146672087
AR1513 AEP COR 1005 1088 9055.67635557391
AR1645 AEP BHI 1020 1100 8945.53850211056
AR1410 AEP MDZ 1045 1155 9921.94540797762
AR1759 AEP RES 1160 1247 9197.32065897353
AR1820 AEP IGR 1175 1280 9775.33146672087
AR1436 AEP UAQ 1200 1318 10146.4025292584
AR1532 AEP COR 1220 1303 9055.67635557391
AR1824 AEP FTE 1320 75 11894.3437174517
AR1669 AEP NQN 1325 1439 10035.6442531557
AR1667 AEP BRC 1415 115 10711.1388305723
AR1644 BHI AEP 855 929 8713.79573392736
AR1646 BHI AEP 1140 1214 8713.79573392736
AR1668 BRC AEP 165 283 10146.4025292584
AR1538 COR AEP 350 425 8753.5759144289
AR1503 COR AEP 415 490 8753.5759144289
AR1510 COR AEP 550 625 8753.5759144289
AR1502 COR AEP 630 700 8549.4835036172
AR1854 COR ROS 810 865 7834.71181146596
AR1528 COR AEP 1015 1090 8753.5759144289
AR1514 COR EZE 1130 1202 8632.71593005257
AR1512 COR AEP 1345 1420 8753.5759144289
AR1666 CPC AEP 900 1015 10063.6010837918
AR1521 CRD RGL 845 916 8591.37888108099
AR1529 CRD NQN 1080 1160 8945.53850211056
AR1382 EZE COR 455 540 9127.20690429483
AR1722 EZE IGR 485 600 10063.6010837918
AR1362 EZE VVI 1335 80 11697.5318615621
AR1825 FTE AEP 120 291 11409.8720354917
AR1734 IGR AEP 640 755 10063.6010837918
AR1736 IGR AEP 950 1065 10063.6010837918
AR1724 IGR EZE 1110 1230 10200.7438572444
AR1725 IGR AEP 1320 1435 10063.6010837918
AR1523 MDZ NQN 595 674 8908.02130356729
AR1403 MDZ AEP 630 725 9465.04096321857
AR1413 MDZ AEP 700 796 9497.20183744839
AR1411 MDZ AEP 1195 1291 9497.20183744839
AR1531 MDZ COR 1325 1380 7834.71181146596
AR1670 NQN AEP 360 457 9529.09580502729
AR1654 NQN AEP 690 787 9529.09580502729
AR1515 NQN CRD 709 789 8945.53850211056
AR1650 NQN AEP 835 932 9529.09580502729
AR1656 NQN AEP 1095 1192 9529.09580502729
AR1140 NQN MDZ 1205 1280 8753.5759144289
AR1750 PSS AEP 585 680 9465.04096321857
AR1754 PSS AEP 950 1045 9465.04096321857
AR1865 REL AEP 480 590 9921.94540797762
AR1756 RES AEP 915 1000 9127.20690429483
AR1790 RES AEP 1295 1380 9127.20690429483
AR1597 RGL CRD 965 1035 8549.4835036172
AR1803 ROS COR 840 895 7834.71181146596
AR1435 UAQ AEP 953 1045 9366.89168503191
AR1437 UAQ AEP 1358 1450 9366.89168503191
AR1363 VVI EZE 130 309 11576.0760549422
